trigger_dt,pitch_dt,ticker,sentiment
2024-01-03,2024-01-01,TEAM,bearish
2024-01-02,2024-01-01,HCP,bullish
2024-01-02,2024-01-01,IOT,bearish
2024-01-25,2024-01-01,AMPL,bullish
2024-01-02,2024-01-01,ADBE,bearish
2024-12-20,2024-01-01,BESIY,bullish
2024-01-02,2024-01-02,LRMR,bullish
2025-01-30,2024-01-02,MAKSY,bullish
2024-01-02,2024-01-02,LIFE,bullish
2024-01-25,2024-01-02,HGV,bullish
2024-01-10,2024-01-02,CPNG,bullish
2025-01-21,2024-01-02,VONOY,bullish
2024-01-02,2024-01-02,DAKT,bullish
2024-01-02,2024-01-02,HSY,bullish
2024-01-10,2024-01-02,MXCT,bullish
2024-01-02,2024-01-02,PYXS,bullish
2024-01-22,2024-01-02,AER,bullish
2024-03-19,2024-01-03,CELH,bearish
2024-01-03,2024-01-03,C,bullish
2024-02-23,2024-01-03,DHI,bullish
2024-01-03,2024-01-03,DQ,bullish
2024-12-30,2024-01-04,TCI,bullish
2024-01-05,2024-01-05,MREO,bullish
2024-02-06,2024-01-05,ESPR,bullish
2024-01-05,2024-01-05,FIXX,bullish
2024-02-01,2024-01-05,ETSY,bullish
2024-12-20,2024-01-06,LNNGY,bullish
2025-01-16,2024-01-07,NTDOY,bullish
2024-01-08,2024-01-08,TIPT,bullish
2024-01-26,2024-01-08,BFH,bullish
2024-02-02,2024-01-08,OMAB,bullish
2024-01-08,2024-01-08,KOPN,bullish
2024-01-29,2024-01-08,SYF,bullish
2024-01-08,2024-01-08,DCGO,bearish
2024-01-30,2024-01-09,SNBR,bullish
2024-01-09,2024-01-09,MSTR,bearish
2024-01-29,2024-01-10,DSGR,bullish
2024-01-10,2024-01-10,ABR,bearish
2024-01-25,2024-01-10,PCTY,bullish
2024-01-25,2024-01-10,PUBM,bullish
2024-01-23,2024-01-10,GEO,bullish
2024-01-29,2024-01-11,FTRE,bullish
2024-01-25,2024-01-11,TCMD,bullish
2024-01-24,2024-01-11,BABA,bullish
2024-01-12,2024-01-12,ALIT,bearish
2024-01-23,2024-01-12,SE,bullish
2024-01-25,2024-01-12,PGY,bullish
2024-02-12,2024-01-14,FND,bullish
2024-06-28,2024-01-14,NBBK,bullish
2024-01-25,2024-01-14,LYTS,bullish
2024-01-19,2024-01-14,CLS,bullish
